,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,id,salary_group
34,34,2020,MI,FT,Data Analyst,41000,EUR,FR,50,FR,L,34,L
35,35,2020,MI,FT,Data Engineer,65000,EUR,AT,50,AT,L,35,L
36,36,2020,MI,FT,Data Science Consultant,103000,USD,US,100,US,L,36,M
37,37,2020,EN,FT,Machine Learning Engineer,250000,USD,US,50,US,L,37,H
38,38,2020,EN,FT,Data Analyst,10000,USD,NG,100,NG,S,38,L
39,39,2020,EN,FT,Machine Learning Engineer,138000,USD,US,100,US,S,39,H
40,40,2020,MI,FT,Data Scientist,45760,USD,PH,100,US,S,40,L
41,41,2020,EX,FT,Data Engineering Manager,70000,EUR,ES,50,ES,L,41,M
42,42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,PT,0,PT,M,42,L
43,43,2020,MI,FT,Data Engineer,106000,USD,US,100,US,L,43,M
44,44,2020,MI,FT,Data Engineer,88000,GBP,GB,50,GB,L,44,M
45,45,2020,EN,PT,ML Engineer,14000,EUR,DE,100,DE,S,45,L
46,46,2020,MI,FT,Data Scientist,60000,GBP,GB,100,GB,S,46,M
47,47,2020,SE,FT,Data Engineer,188000,USD,US,100,US,L,47,H
48,48,2020,MI,FT,Data Scientist,105000,USD,US,100,US,L,48,M
49,49,2020,MI,FT,Data Engineer,61500,EUR,FR,50,FR,L,49,L
50,50,2020,EN,FT,Data Analyst,450000,INR,IN,0,IN,S,50,L
51,51,2020,EN,FT,Data Analyst,91000,USD,US,100,US,L,51,M
52,52,2020,EN,FT,AI Scientist,300000,DKK,DK,50,DK,S,52,L
53,53,2020,EN,FT,Data Engineer,48000,EUR,PK,100,DE,L,53,L
54,54,2020,SE,FL,Computer Vision Engineer,60000,USD,RU,100,US,S,54,L
55,55,2020,SE,FT,Principal Data Scientist,130000,EUR,DE,100,DE,M,55,H
56,56,2020,MI,FT,Data Scientist,34000,EUR,ES,100,ES,M,56,L
57,57,2020,MI,FT,Data Scientist,118000,USD,US,100,US,M,57,M
58,58,2020,SE,FT,Data Scientist,120000,USD,US,50,US,L,58,M
59,59,2020,MI,FT,Data Scientist,138350,USD,US,100,US,M,59,H
60,60,2020,MI,FT,Data Engineer,110000,USD,US,100,US,L,60,M
61,61,2020,MI,FT,Data Engineer,130800,USD,ES,100,US,M,61,H
62,62,2020,EN,PT,Data Scientist,19000,EUR,IT,50,IT,S,62,L
63,63,2020,SE,FT,Data Scientist,412000,USD,US,100,US,L,63,H
64,64,2020,SE,FT,Machine Learning Engineer,40000,EUR,HR,100,HR,S,64,L
65,65,2020,EN,FT,Data Scientist,55000,EUR,DE,50,DE,S,65,L
66,66,2020,EN,FT,Data Scientist,43200,EUR,DE,0,DE,S,66,L
67,67,2020,SE,FT,Data Science Manager,190200,USD,US,100,US,M,67,H
68,68,2020,EN,FT,Data Scientist,105000,USD,US,100,US,S,68,M
69,69,2020,SE,FT,Data Scientist,80000,EUR,AT,0,AT,S,69,M
70,70,2020,MI,FT,Data Scientist,55000,EUR,FR,50,LU,S,70,L
71,71,2020,MI,FT,Data Scientist,37000,EUR,FR,50,FR,S,71,L
72,72,2021,EN,FT,Research Scientist,60000,GBP,GB,50,GB,L,72,M
73,73,2021,EX,FT,BI Data Analyst,150000,USD,IN,100,US,L,73,H
74,74,2021,EX,FT,Head of Data,235000,USD,US,100,US,L,74,H
75,75,2021,SE,FT,Data Scientist,45000,EUR,FR,50,FR,L,75,L
76,76,2021,MI,FT,BI Data Analyst,100000,USD,US,100,US,M,76,M
77,77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,IN,50,IN,M,77,L
78,78,2021,MI,CT,ML Engineer,270000,USD,US,100,US,L,78,H
79,79,2021,EN,FT,Data Analyst,80000,USD,US,100,US,M,79,M
80,80,2021,SE,FT,Data Analytics Engineer,67000,EUR,DE,100,DE,L,80,M
81,81,2021,MI,FT,Data Engineer,140000,USD,US,100,US,L,81,H
82,82,2021,MI,FT,Applied Data Scientist,68000,CAD,GB,50,CA,L,82,L
83,83,2021,MI,FT,Machine Learning Engineer,40000,EUR,ES,100,ES,S,83,L
84,84,2021,EX,FT,Director of Data Science,130000,EUR,IT,100,PL,L,84,H
85,85,2021,MI,FT,Data Engineer,110000,PLN,PL,100,PL,L,85,L
86,86,2021,EN,FT,Data Analyst,50000,EUR,FR,50,FR,M,86,L
87,87,2021,MI,FT,Data Analytics Engineer,110000,USD,US,100,US,L,87,M
88,88,2021,SE,FT,Lead Data Analyst,170000,USD,US,100,US,L,88,H
89,89,2021,SE,FT,Data Analyst,80000,USD,BG,100,US,S,89,M
90,90,2021,SE,FT,Marketing Data Analyst,75000,EUR,GR,100,DK,L,90,M
91,91,2021,EN,FT,Data Science Consultant,65000,EUR,DE,100,DE,S,91,L
92,92,2021,MI,FT,Lead Data Analyst,1450000,INR,IN,100,IN,L,92,L
93,93,2021,SE,FT,Lead Data Engineer,276000,USD,US,0,US,L,93,H
94,94,2021,EN,FT,Data Scientist,2200000,INR,IN,50,IN,L,94,L
95,95,2021,MI,FT,Cloud Data Engineer,120000,SGD,SG,50,SG,L,95,M
96,96,2021,EN,PT,AI Scientist,12000,USD,BR,100,US,S,96,L
97,97,2021,MI,FT,Financial Data Analyst,450000,USD,US,100,US,L,97,H
98,98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,US,100,US,M,98,L
99,99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,DE,100,US,S,99,M
100,100,2021,MI,FT,Data Analyst,75000,USD,US,0,US,L,100,L
101,101,2021,SE,FT,Data Engineer,150000,USD,US,100,US,L,101,H
102,102,2021,MI,FT,BI Data Analyst,11000000,HUF,HU,50,US,L,102,L
103,103,2021,MI,FT,Data Analyst,62000,USD,US,0,US,L,103,L
104,104,2021,MI,FT,Data Scientist,73000,USD,US,0,US,L,104,L
105,105,2021,MI,FT,Data Analyst,37456,GBP,GB,50,GB,L,105,L
106,106,2021,MI,FT,Research Scientist,235000,CAD,CA,100,CA,L,106,H
107,107,2021,SE,FT,Data Engineer,115000,USD,US,100,US,S,107,M
108,108,2021,SE,FT,Data Engineer,150000,USD,US,100,US,M,108,H
109,109,2021,EN,FT,Data Engineer,2250000,INR,IN,100,IN,L,109,L
110,110,2021,SE,FT,Machine Learning Engineer,80000,EUR,DE,50,DE,L,110,M
111,111,2021,SE,FT,Director of Data Engineering,82500,GBP,GB,100,GB,M,111,M
112,112,2021,SE,FT,Lead Data Engineer,75000,GBP,GB,100,GB,S,112,M
113,113,2021,EN,PT,AI Scientist,12000,USD,PK,100,US,M,113,L
114,114,2021,MI,FT,Data Engineer,38400,EUR,NL,100,NL,L,114,L
115,115,2021,EN,FT,Machine Learning Scientist,225000,USD,US,100,US,L,115,H
116,116,2021,MI,FT,Data Scientist,50000,USD,NG,100,NG,L,116,L
117,117,2021,MI,FT,Data Science Engineer,34000,EUR,GR,100,GR,M,117,L
118,118,2021,EN,FT,Data Analyst,90000,USD,US,100,US,S,118,M
119,119,2021,MI,FT,Data Engineer,200000,USD,US,100,US,L,119,H
120,120,2021,MI,FT,Big Data Engineer,60000,USD,ES,50,RO,M,120,L
121,121,2021,SE,FT,Principal Data Engineer,200000,USD,US,100,US,M,121,H
122,122,2021,EN,FT,Data Analyst,50000,USD,US,100,US,M,122,L
123,123,2021,EN,FT,Applied Data Scientist,80000,GBP,GB,0,GB,L,123,M
124,124,2021,EN,PT,Data Analyst,8760,EUR,ES,50,ES,M,124,L
125,125,2021,MI,FT,Principal Data Scientist,151000,USD,US,100,US,L,125,H
126,126,2021,SE,FT,Machine Learning Scientist,120000,USD,US,50,US,S,126,M
127,127,2021,MI,FT,Data Scientist,700000,INR,IN,0,IN,S,127,L
128,128,2021,EN,FT,Machine Learning Engineer,20000,USD,IN,100,IN,S,128,L
129,129,2021,SE,FT,Lead Data Scientist,3000000,INR,IN,50,IN,L,129,L
130,130,2021,EN,FT,Machine Learning Developer,100000,USD,IQ,50,IQ,S,130,M
131,131,2021,EN,FT,Data Scientist,42000,EUR,FR,50,FR,M,131,L
132,132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,VN,100,US,M,132,L
133,133,2021,SE,FT,Computer Vision Engineer,24000,USD,BR,100,BR,M,133,L
134,134,2021,EN,FT,Data Scientist,100000,USD,US,0,US,S,134,M
135,135,2021,MI,FT,Data Analyst,90000,USD,US,100,US,M,135,M
136,136,2021,MI,FT,ML Engineer,7000000,JPY,JP,50,JP,S,136,L
137,137,2021,MI,FT,ML Engineer,8500000,JPY,JP,50,JP,S,137,M
138,138,2021,SE,FT,Principal Data Scientist,220000,USD,US,0,US,L,138,H
139,139,2021,EN,FT,Data Scientist,80000,USD,US,100,US,M,139,M
140,140,2021,MI,FT,Data Analyst,135000,USD,US,100,US,L,140,H
141,141,2021,SE,FT,Data Science Manager,240000,USD,US,0,US,L,141,H
142,142,2021,SE,FT,Data Engineering Manager,150000,USD,US,0,US,L,142,H
143,143,2021,MI,FT,Data Scientist,82500,USD,US,100,US,S,143,M
144,144,2021,MI,FT,Data Engineer,100000,USD,US,100,US,L,144,M
145,145,2021,SE,FT,Machine Learning Engineer,70000,EUR,BE,50,BE,M,145,M
146,146,2021,MI,FT,Research Scientist,53000,EUR,FR,50,FR,M,146,L
147,147,2021,MI,FT,Data Engineer,90000,USD,US,100,US,L,147,M
148,148,2021,SE,FT,Data Engineering Manager,153000,USD,US,100,US,L,148,H
149,149,2021,SE,FT,Cloud Data Engineer,160000,USD,BR,100,US,S,149,H
150,150,2021,SE,FT,Director of Data Science,168000,USD,JP,0,JP,S,150,H
151,151,2021,MI,FT,Data Scientist,150000,USD,US,100,US,M,151,H
152,152,2021,MI,FT,Data Scientist,95000,CAD,CA,100,CA,L,152,L
153,153,2021,EN,FT,Data Scientist,13400,USD,UA,100,UA,L,153,L
154,154,2021,SE,FT,Data Science Manager,144000,USD,US,100,US,L,154,H
155,155,2021,SE,FT,Data Science Engineer,159500,CAD,CA,50,CA,L,155,M
156,156,2021,MI,FT,Data Scientist,160000,SGD,SG,100,IL,M,156,M
157,157,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,US,50,US,L,157,H
158,158,2021,SE,FT,Data Analytics Manager,120000,USD,US,100,US,M,158,M
159,159,2021,EN,FT,Machine Learning Engineer,125000,USD,US,100,US,S,159,M
160,160,2021,EX,FT,Head of Data,230000,USD,RU,50,RU,L,160,H
161,161,2021,EX,FT,Head of Data Science,85000,USD,RU,0,RU,M,161,M
162,162,2021,MI,FT,Data Engineer,24000,EUR,MT,50,MT,L,162,L
163,163,2021,EN,FT,Data Science Consultant,54000,EUR,DE,50,DE,L,163,L
164,164,2021,EX,FT,Director of Data Science,110000,EUR,DE,50,DE,M,164,H
165,165,2021,SE,FT,Data Specialist,165000,USD,US,100,US,L,165,H
166,166,2021,EN,FT,Data Engineer,80000,USD,US,100,US,L,166,M
167,167,2021,EX,FT,Director of Data Science,250000,USD,US,0,US,L,167,H
168,168,2021,EN,FT,BI Data Analyst,55000,USD,US,50,US,S,168,L
169,169,2021,MI,FT,Data Architect,150000,USD,US,100,US,L,169,H
170,170,2021,MI,FT,Data Architect,170000,USD,US,100,US,L,170,H
171,171,2021,MI,FT,Data Engineer,60000,GBP,GB,100,GB,L,171,M
172,172,2021,EN,FT,Data Analyst,60000,USD,US,100,US,S,172,L
173,173,2021,SE,FT,Principal Data Scientist,235000,USD,US,100,US,L,173,H
174,174,2021,SE,FT,Research Scientist,51400,EUR,PT,50,PT,L,174,L
175,175,2021,SE,FT,Data Engineering Manager,174000,USD,US,100,US,L,175,H
176,176,2021,MI,FT,Data Scientist,58000,MXN,MX,0,MX,S,176,L
177,177,2021,MI,FT,Data Scientist,30400000,CLP,CL,100,CL,L,177,L
178,178,2021,EN,FT,Machine Learning Engineer,81000,USD,US,50,US,S,178,M
179,179,2021,MI,FT,Data Scientist,420000,INR,IN,100,US,S,179,L
180,180,2021,MI,FT,Big Data Engineer,1672000,INR,IN,0,IN,L,180,L
181,181,2021,MI,FT,Data Scientist,76760,EUR,DE,50,DE,L,181,M
182,182,2021,MI,FT,Data Engineer,22000,EUR,RO,0,US,L,182,L
183,183,2021,SE,FT,Finance Data Analyst,45000,GBP,GB,50,GB,L,183,L
184,184,2021,MI,FL,Machine Learning Scientist,12000,USD,PK,50,PK,M,184,L
185,185,2021,MI,FT,Data Engineer,4000,USD,IR,100,IR,M,185,L
186,186,2021,SE,FT,Data Analytics Engineer,50000,USD,VN,100,GB,M,186,L
187,187,2021,EX,FT,Data Science Consultant,59000,EUR,FR,100,ES,S,187,L
188,188,2021,SE,FT,Data Engineer,65000,EUR,RO,50,GB,S,188,L
189,189,2021,MI,FT,Machine Learning Engineer,74000,USD,JP,50,JP,S,189,L
190,190,2021,SE,FT,Data Science Manager,152000,USD,US,100,FR,L,190,H
191,191,2021,EN,FT,Machine Learning Engineer,21844,USD,CO,50,CO,M,191,L
192,192,2021,MI,FT,Big Data Engineer,18000,USD,MD,0,MD,S,192,L
193,193,2021,SE,FT,Data Science Manager,174000,USD,US,100,US,L,193,H
194,194,2021,SE,FT,Research Scientist,120500,CAD,CA,50,CA,L,194,M
195,195,2021,MI,FT,Data Scientist,147000,USD,US,50,US,L,195,H
196,196,2021,EN,FT,BI Data Analyst,9272,USD,KE,100,KE,S,196,L
197,197,2021,SE,FT,Machine Learning Engineer,1799997,INR,IN,100,IN,L,197,L
198,198,2021,SE,FT,Data Science Manager,4000000,INR,IN,50,US,L,198,L
199,199,2021,EN,FT,Data Science Consultant,90000,USD,US,100,US,S,199,M
200,200,2021,MI,FT,Data Scientist,52000,EUR,DE,50,AT,M,200,L
201,201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,US,100,US,M,201,H
202,202,2021,MI,FT,Data Scientist,32000,EUR,ES,100,ES,L,202,L
203,203,2021,SE,FT,Research Scientist,50000,USD,FR,100,US,S,203,L
204,204,2021,MI,FT,Data Scientist,160000,USD,US,100,US,L,204,H
205,205,2021,MI,FT,Data Scientist,69600,BRL,BR,0,BR,S,205,L
206,206,2021,SE,FT,Machine Learning Engineer,200000,USD,US,100,US,L,206,H
207,207,2021,SE,FT,Data Engineer,165000,USD,US,0,US,M,207,H
208,208,2021,MI,FL,Data Engineer,20000,USD,IT,0,US,L,208,L
209,209,2021,SE,FT,Data Analytics Manager,120000,USD,US,0,US,L,209,M
210,210,2021,MI,FT,Machine Learning Engineer,21000,EUR,SI,50,SI,L,210,L
211,211,2021,MI,FT,Research Scientist,48000,EUR,FR,50,FR,S,211,L
212,212,2021,MI,FT,Data Engineer,48000,GBP,HK,50,GB,S,212,L
213,213,2021,EN,FT,Big Data Engineer,435000,INR,IN,0,CH,L,213,L
214,214,2021,EN,FT,Machine Learning Engineer,21000,EUR,DE,50,DE,M,214,L
215,215,2021,SE,FT,Principal Data Engineer,185000,USD,US,100,US,L,215,H
216,216,2021,EN,PT,Computer Vision Engineer,180000,DKK,DK,50,DK,S,216,L
217,217,2021,MI,FT,Data Scientist,76760,EUR,DE,50,DE,L,217,M
218,218,2021,MI,FT,Machine Learning Engineer,75000,EUR,BE,100,BE,M,218,M
219,219,2021,SE,FT,Data Analytics Manager,140000,USD,US,100,US,L,219,H
220,220,2021,MI,FT,Machine Learning Engineer,180000,PLN,PL,100,PL,L,220,L
221,221,2021,MI,FT,Data Scientist,85000,GBP,GB,50,GB,L,221,M
222,222,2021,MI,FT,Data Scientist,2500000,INR,IN,0,IN,M,222,L
223,223,2021,MI,FT,Data Scientist,40900,GBP,GB,50,GB,L,223,L
224,224,2021,SE,FT,Machine Learning Scientist,225000,USD,US,100,CA,L,224,H
225,225,2021,EX,CT,Principal Data Scientist,416000,USD,US,100,US,S,225,H
226,226,2021,SE,FT,Data Scientist,110000,CAD,CA,100,CA,S,226,M
227,227,2021,MI,FT,Data Scientist,75000,EUR,DE,50,DE,L,227,M
228,228,2021,SE,FT,Data Scientist,135000,USD,US,0,US,L,228,H
229,229,2021,SE,FT,Data Analyst,90000,CAD,CA,100,CA,M,229,L
230,230,2021,EN,FT,Big Data Engineer,1200000,INR,IN,100,IN,L,230,L
231,231,2021,SE,FT,ML Engineer,256000,USD,US,100,US,S,231,H
232,232,2021,SE,FT,Director of Data Engineering,200000,USD,US,100,US,L,232,H
233,233,2021,SE,FT,Data Analyst,200000,USD,US,100,US,L,233,H
234,234,2021,MI,FT,Data Architect,180000,USD,US,100,US,L,234,H
235,235,2021,MI,FT,Head of Data Science,110000,USD,US,0,US,S,235,M
236,236,2021,MI,FT,Research Scientist,80000,CAD,CA,100,CA,M,236,L
237,237,2021,MI,FT,Data Scientist,39600,EUR,ES,100,ES,M,237,L
238,238,2021,EN,FT,Data Scientist,4000,USD,VN,0,VN,M,238,L
239,239,2021,EN,FT,Data Engineer,1600000,INR,IN,50,IN,M,239,L
240,240,2021,SE,FT,Data Scientist,130000,CAD,CA,100,CA,L,240,M
241,241,2021,MI,FT,Data Analyst,80000,USD,US,100,US,L,241,M
242,242,2021,MI,FT,Data Engineer,110000,USD,US,100,US,L,242,M
243,243,2021,SE,FT,Data Scientist,165000,USD,US,100,US,L,243,H
244,244,2021,EN,FT,AI Scientist,1335000,INR,IN,100,AS,S,244,L
245,245,2021,MI,FT,Data Engineer,52500,GBP,GB,50,GB,L,245,L
246,246,2021,EN,FT,Data Scientist,31000,EUR,FR,50,FR,L,246,L
247,247,2021,MI,FT,Data Engineer,108000,TRY,TR,0,TR,M,247,L
248,248,2021,SE,FT,Data Engineer,70000,GBP,GB,50,GB,L,248,M
249,249,2021,SE,FT,Principal Data Analyst,170000,USD,US,100,US,M,249,H
250,250,2021,MI,FT,Data Scientist,115000,USD,US,50,US,L,250,M
251,251,2021,EN,FT,Data Scientist,90000,USD,US,100,US,S,251,M
252,252,2021,EX,FT,Principal Data Engineer,600000,USD,US,100,US,L,252,H
253,253,2021,EN,FT,Data Scientist,2100000,INR,IN,100,IN,M,253,L
254,254,2021,MI,FT,Data Analyst,93000,USD,US,100,US,L,254,M
255,255,2021,SE,FT,Big Data Architect,125000,CAD,CA,50,CA,M,255,M
256,256,2021,MI,FT,Data Engineer,200000,USD,US,100,US,L,256,H
257,257,2021,SE,FT,Principal Data Scientist,147000,EUR,DE,100,DE,M,257,H
258,258,2021,SE,FT,Machine Learning Engineer,185000,USD,US,50,US,L,258,H
259,259,2021,EX,FT,Director of Data Science,120000,EUR,DE,0,DE,L,259,H
260,260,2021,MI,FT,Data Scientist,130000,USD,US,50,US,L,260,M
261,261,2021,SE,FT,Data Analyst,54000,EUR,DE,50,DE,L,261,L
262,262,2021,MI,FT,Data Scientist,1250000,INR,IN,100,IN,S,262,L
263,263,2021,SE,FT,Machine Learning Engineer,4900000,INR,IN,0,IN,L,263,L
264,264,2021,MI,FT,Data Scientist,21600,EUR,RS,100,DE,S,264,L
265,265,2021,SE,FT,Lead Data Engineer,160000,USD,PR,50,US,S,265,H
266,266,2021,MI,FT,Data Engineer,93150,USD,US,0,US,M,266,M
267,267,2021,MI,FT,Data Engineer,111775,USD,US,0,US,M,267,M
268,268,2021,MI,FT,Data Engineer,250000,TRY,TR,100,TR,M,268,L
269,269,2021,EN,FT,Data Engineer,55000,EUR,DE,50,DE,M,269,L
270,270,2021,EN,FT,Data Engineer,72500,USD,US,100,US,L,270,L
271,271,2021,SE,FT,Computer Vision Engineer,102000,BRL,BR,0,BR,M,271,L
272,272,2021,EN,FT,Data Science Consultant,65000,EUR,DE,0,DE,L,272,L
273,273,2021,EN,FT,Machine Learning Engineer,85000,USD,NL,100,DE,S,273,M
274,274,2021,SE,FT,Data Scientist,65720,EUR,FR,50,FR,M,274,M
275,275,2021,EN,FT,Data Scientist,100000,USD,US,100,US,M,275,M
276,276,2021,EN,FT,Data Scientist,58000,USD,US,50,US,L,276,L
277,277,2021,SE,FT,AI Scientist,55000,USD,ES,100,ES,L,277,L
278,278,2021,SE,FT,Data Scientist,180000,TRY,TR,50,TR,L,278,L
279,279,2021,EN,FT,Business Data Analyst,50000,EUR,LU,100,LU,L,279,L
280,280,2021,MI,FT,Data Engineer,112000,USD,US,100,US,L,280,M
281,281,2021,EN,FT,Research Scientist,100000,USD,JE,0,CN,L,281,M
282,282,2021,MI,PT,Data Engineer,59000,EUR,NL,100,NL,L,282,L
283,283,2021,SE,CT,Staff Data Scientist,105000,USD,US,100,US,M,283,M
284,284,2021,MI,FT,Research Scientist,69999,USD,CZ,50,CZ,L,284,L
285,285,2021,SE,FT,Data Science Manager,7000000,INR,IN,50,IN,L,285,M
286,286,2021,SE,FT,Head of Data,87000,EUR,SI,100,SI,L,286,M
287,287,2021,MI,FT,Data Scientist,109000,USD,US,50,US,L,287,M
288,288,2021,MI,FT,Machine Learning Engineer,43200,EUR,IT,50,IT,L,288,L
289,289,2022,SE,FT,Data Engineer,135000,USD,US,100,US,M,289,H
290,290,2022,SE,FT,Data Analyst,155000,USD,US,100,US,M,290,H
291,291,2022,SE,FT,Data Analyst,120600,USD,US,100,US,M,291,M
292,292,2022,MI,FT,Data Scientist,130000,USD,US,0,US,M,292,M
293,293,2022,MI,FT,Data Scientist,90000,USD,US,0,US,M,293,M
294,294,2022,MI,FT,Data Engineer,170000,USD,US,100,US,M,294,H
295,295,2022,MI,FT,Data Engineer,150000,USD,US,100,US,M,295,H
296,296,2022,SE,FT,Data Analyst,102100,USD,US,100,US,M,296,M
297,297,2022,SE,FT,Data Analyst,84900,USD,US,100,US,M,297,M
298,298,2022,SE,FT,Data Scientist,136620,USD,US,100,US,M,298,H
299,299,2022,SE,FT,Data Scientist,99360,USD,US,100,US,M,299,M
300,300,2022,SE,FT,Data Scientist,90000,GBP,GB,0,GB,M,300,M
301,301,2022,SE,FT,Data Scientist,80000,GBP,GB,0,GB,M,301,M
302,302,2022,SE,FT,Data Scientist,146000,USD,US,100,US,M,302,H
303,303,2022,SE,FT,Data Scientist,123000,USD,US,100,US,M,303,M
304,304,2022,EN,FT,Data Engineer,40000,GBP,GB,100,GB,M,304,L
305,305,2022,SE,FT,Data Analyst,99000,USD,US,0,US,M,305,M
306,306,2022,SE,FT,Data Analyst,116000,USD,US,0,US,M,306,M
307,307,2022,MI,FT,Data Analyst,106260,USD,US,0,US,M,307,M
308,308,2022,MI,FT,Data Analyst,126500,USD,US,0,US,M,308,M
309,309,2022,EX,FT,Data Engineer,242000,USD,US,100,US,M,309,H
310,310,2022,EX,FT,Data Engineer,200000,USD,US,100,US,M,310,H
311,311,2022,MI,FT,Data Scientist,50000,GBP,GB,0,GB,M,311,L
312,312,2022,MI,FT,Data Scientist,30000,GBP,GB,0,GB,M,312,L
313,313,2022,MI,FT,Data Engineer,60000,GBP,GB,0,GB,M,313,M
314,314,2022,MI,FT,Data Engineer,40000,GBP,GB,0,GB,M,314,L
315,315,2022,SE,FT,Data Scientist,165220,USD,US,100,US,M,315,H
316,316,2022,EN,FT,Data Engineer,35000,GBP,GB,100,GB,M,316,L
317,317,2022,SE,FT,Data Scientist,120160,USD,US,100,US,M,317,M
318,318,2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,318,M
319,319,2022,SE,FT,Data Engineer,181940,USD,US,0,US,M,319,H
320,320,2022,SE,FT,Data Engineer,132320,USD,US,0,US,M,320,H
321,321,2022,SE,FT,Data Engineer,220110,USD,US,0,US,M,321,H
322,322,2022,SE,FT,Data Engineer,160080,USD,US,0,US,M,322,H
323,323,2022,SE,FT,Data Scientist,180000,USD,US,0,US,L,323,H
324,324,2022,SE,FT,Data Scientist,120000,USD,US,0,US,L,324,M
325,325,2022,SE,FT,Data Analyst,124190,USD,US,100,US,M,325,M
326,326,2022,EX,FT,Data Analyst,130000,USD,US,100,US,M,326,M
327,327,2022,EX,FT,Data Analyst,110000,USD,US,100,US,M,327,M
328,328,2022,SE,FT,Data Analyst,170000,USD,US,100,US,M,328,H
329,329,2022,MI,FT,Data Analyst,115500,USD,US,100,US,M,329,M
330,330,2022,SE,FT,Data Analyst,112900,USD,US,100,US,M,330,M
331,331,2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,331,M
332,332,2022,SE,FT,Data Analyst,112900,USD,US,100,US,M,332,M
333,333,2022,SE,FT,Data Analyst,90320,USD,US,100,US,M,333,M
334,334,2022,SE,FT,Data Engineer,165400,USD,US,100,US,M,334,H
335,335,2022,SE,FT,Data Engineer,132320,USD,US,100,US,M,335,H
336,336,2022,MI,FT,Data Analyst,167000,USD,US,100,US,M,336,H
337,337,2022,SE,FT,Data Engineer,243900,USD,US,100,US,M,337,H
338,338,2022,SE,FT,Data Analyst,136600,USD,US,100,US,M,338,H
339,339,2022,SE,FT,Data Analyst,109280,USD,US,100,US,M,339,M
340,340,2022,SE,FT,Data Engineer,128875,USD,US,100,US,M,340,M
341,341,2022,SE,FT,Data Engineer,93700,USD,US,100,US,M,341,M
